"","year","Gender","num","CellType"
"GSM2171880","21yr","male","cell1","alpha"
"GSM2171881","21yr","male","cell2","alpha"
"GSM2171882","21yr","male","cell3","acinar"
"GSM2171883","21yr","male","cell4","alpha"
"GSM2171884","21yr","male","cell5","alpha"
"GSM2171885","21yr","male","cell6","alpha"
"GSM2171888","21yr","male","cell9","acinar"
"GSM2171889","21yr","male","cell10","acinar"
"GSM2171890","21yr","male","cell11","acinar"
"GSM2171891","21yr","male","cell12","acinar"
"GSM2171893","21yr","male","cell14","acinar"
"GSM2171894","21yr","male","cell15","acinar"
"GSM2171895","21yr","male","cell16","alpha"
"GSM2171896","21yr","male","cell17","acinar"
"GSM2171897","21yr","male","cell18","acinar"
"GSM2171898","21yr","male","cell19","acinar"
"GSM2171899","21yr","male","cell20","acinar"
"GSM2171900","21yr","male","cell21","acinar"
"GSM2171901","21yr","male","cell22","acinar"
"GSM2171905","21yr","male","cell26","acinar"
"GSM2171906","21yr","male","cell27","alpha"
"GSM2171907","21yr","male","cell28","alpha"
"GSM2171909","21yr","male","cell30","acinar"
"GSM2171910","21yr","male","cell31","acinar"
"GSM2171911","21yr","male","cell32","acinar"
"GSM2171912","21yr","male","cell33","alpha"
"GSM2171913","21yr","male","cell34","alpha"
"GSM2171914","21yr","male","cell35","acinar"
"GSM2171915","21yr","male","cell36","acinar"
"GSM2171917","21yr","male","cell38","acinar"
"GSM2171918","21yr","male","cell39","acinar"
"GSM2171919","21yr","male","cell40","acinar"
"GSM2171920","21yr","male","cell41","acinar"
"GSM2171921","21yr","male","cell42","alpha"
"GSM2171922","21yr","male","cell43","alpha"
"GSM2171923","21yr","male","cell44","acinar"
"GSM2171924","21yr","male","cell45","alpha"
"GSM2171925","21yr","male","cell46","alpha"
"GSM2171926","21yr","male","cell47","acinar"
"GSM2171927","21yr","male","cell48","alpha"
"GSM2171928","21yr","male","cell49","acinar"
"GSM2171929","21yr","male","cell50","alpha"
"GSM2171930","21yr","male","cell51","acinar"
"GSM2171931","21yr","male","cell52","acinar"
"GSM2171933","21yr","male","cell54","acinar"
"GSM2171934","21yr","male","cell55","delta"
"GSM2171935","21yr","male","cell56","acinar"
"GSM2171936","21yr","male","cell57","delta"
"GSM2171938","21yr","male","cell59","alpha"
"GSM2171939","21yr","male","cell60","acinar"
"GSM2171940","21yr","male","cell61","alpha"
"GSM2171941","21yr","male","cell62","acinar"
"GSM2171942","21yr","male","cell63","acinar"
"GSM2171943","21yr","male","cell64","acinar"
"GSM2171944","21yr","male","cell65","acinar"
"GSM2171946","21yr","male","cell67","acinar"
"GSM2171947","21yr","male","cell68","alpha"
"GSM2171948","21yr","male","cell69","acinar"
"GSM2171949","21yr","male","cell70","acinar"
"GSM2171950","21yr","male","cell71","acinar"
"GSM2171951","21yr","male","cell72","alpha"
"GSM2171952","21yr","male","cell73","acinar"
"GSM2171954","21yr","male","cell75","acinar"
"GSM2171955","21yr","male","cell76","acinar"
"GSM2171956","21yr","male","cell77","acinar"
"GSM2171958","21yr","male","cell79","acinar"
"GSM2171959","21yr","male","cell80","alpha"
"GSM2171960","21yr","male","cell81","acinar"
"GSM2171961","21yr","male","cell82","acinar"
"GSM2171962","21yr","male","cell83","acinar"
"GSM2171963","21yr","male","cell84","alpha"
"GSM2171964","21yr","male","cell85","acinar"
"GSM2171965","21yr","male","cell86","acinar"
"GSM2171967","21yr","male","cell88","alpha"
"GSM2171968","21yr","male","cell89","acinar"
"GSM2171969","21yr","male","cell90","acinar"
"GSM2171971","21yr","male","cell92","acinar"
"GSM2171973","21yr","male","cell94","acinar"
"GSM2171974","21yr","male","cell95","acinar"
"GSM2171975","21yr","male","cell96","alpha"
"GSM2171977","21yr","male","cell98","alpha"
